index,week.x,gbmsm,nongbmsm,na_gbmsm,week,seqn_fit1,seqn_fit2,seqn_fit3,seqn_fit4
5,02/05/2022,0,1,0,02/05/2022,0,0,0,0
6,09/05/2022,0,2,0,09/05/2022,0,0,0,0
7,16/05/2022,52,0,0,16/05/2022,0,0,0,0
8,23/05/2022,97,1,25,23/05/2022,0.929257102,0.88485436,0.916608016,0.920770717
9,30/05/2022,95,5,22,30/05/2022,0.894958857,0.867414323,0.895851786,0.867851808
10,06/06/2022,129,4,32,06/06/2022,0.876857109,0.852716852,0.878043905,0.872528599
11,13/06/2022,176,6,100,13/06/2022,0.867869497,0.861869003,0.879162234,0.886376719
12,20/06/2022,142,3,157,20/06/2022,0.885482964,0.882473568,0.888732001,0.915905136
13,27/06/2022,41,2,106,27/06/2022,NA,0.886708422,0.892164551,0.915039189
14,04/07/2022,122,6,303,04/07/2022,NA,0.896870377,0.902178012,0.932188218
15,11/07/2022,89,4,150,11/07/2022,NA,0.893085288,0.899763653,0.924824053
16,18/07/2022,116,6,247,18/07/2022,NA,0.901613512,0.906248732,0.934446454
17,25/07/2022,91,9,212,25/07/2022,NA,NA,0.907430773,0.93430212
18,01/08/2022,67,8,201,01/08/2022,NA,NA,0.90589104,0.92460725
19,08/08/2022,52,5,128,08/08/2022,NA,NA,0.905924042,0.92308282
20,15/08/2022,45,5,112,15/08/2022,NA,NA,0.904351344,0.915565411
21,22/08/2022,22,4,73,22/08/2022,NA,NA,NA,0.911727877
22,29/08/2022,12,2,52,29/08/2022,NA,NA,NA,0.909205188
23,05/09/2022,14,3,74,05/09/2022,NA,NA,NA,0.906544413
