index,week,curve,gbmsm,na_gbmsm,nongbmsm,seqn_fit0,seqn_fit1,lower.12,upper.12,seqn_fit2,lower.16,upper.16,seqn_fit3,lower.20,upper.20,seqn_fit4,lower.24,upper.24,seqn_fit5,lower_seqn_fit5,upper_seqn_fit5
5,02/05/2022,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,09/05/2022,5.333333333,4,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16/05/2022,65,64,1,0,0.976,0.847053996,0.759758931,0.934349062,0.888664205,0.837957258,0.939371153,0.897526174,0.865840305,0.929212043,0.872405816,0.811642635,0.933168997,0.962112069,0.946921038,0.9773031
8,23/05/2022,134,106,27,1,0.976,0.847053996,0.759758931,0.934349062,0.888664205,0.837957258,0.939371153,0.897526174,0.865840305,0.929212043,0.872405816,0.811642635,0.933168997,0.962112069,0.946921038,0.9773031
9,30/05/2022,131,102,24,5,NA,0.752755535,0.632786151,0.872724918,0.796141462,0.708793139,0.883489786,0.839284603,0.780931238,0.897637968,0.811938266,0.735068358,0.888808175,0.92723387,0.894841333,0.959626407
10,06/06/2022,196,148,41,7,NA,0.824665645,0.743427716,0.905903574,0.80683257,0.736280687,0.877384453,0.831507872,0.781144098,0.881871645,0.832672583,0.771863462,0.893481705,0.849554145,0.786930432,0.912177858
11,13/06/2022,327,197,122,8,NA,0.878684353,0.833453694,0.923915013,0.892183852,0.85866817,0.925699535,0.908072554,0.889494003,0.926651106,0.914523214,0.890714647,0.938331782,0.937760391,0.919889755,0.955631027
12,20/06/2022,354.5,156.5,195,3,NA,0.887050637,0.847642942,0.926458333,0.939274351,0.919183266,0.959365435,0.923414997,0.904321836,0.942508158,0.908162001,0.884885372,0.931438631,0.952257845,0.933998747,0.970516943
13,27/06/2022,265,79,181,5,NA,NA,NA,NA,0.92757353,0.910579751,0.944567308,0.910908499,0.898548537,0.923268461,0.911582052,0.898081925,0.925082179,0.950887902,0.940193207,0.961582597
14,04/07/2022,425,121.3333333,297.6666667,6,NA,NA,NA,NA,0.952031489,0.943058312,0.961004666,0.941871162,0.933134355,0.950607968,0.926871795,0.915077348,0.938666242,0.950489401,0.941984854,0.958993948
15,11/07/2022,430,157,266,7,NA,NA,NA,NA,0.922317087,0.904068418,0.940565757,0.894418328,0.865001937,0.923834718,0.884558699,0.852618072,0.916499326,0.936465846,0.918670655,0.954261038
16,18/07/2022,396,107.5,282.5,6,NA,NA,NA,NA,0.957923111,0.951957708,0.963888515,0.939437348,0.93125356,0.947621136,0.934698654,0.925879163,0.943518144,0.965972462,0.961708722,0.970236203
17,25/07/2022,381.5,103.5,268,10,NA,NA,NA,NA,NA,NA,NA,0.907261175,0.891241262,0.923281088,0.900163742,0.882508674,0.91781881,0.943489374,0.933568862,0.953409886
18,01/08/2022,293.6666667,75.33333333,208,10.33333333,NA,NA,NA,NA,NA,NA,NA,0.887571812,0.873598034,0.901545591,0.863927679,0.844917152,0.882938207,0.872341261,0.849661496,0.895021026
19,08/08/2022,209.3333333,60.33333333,143,6,NA,NA,NA,NA,NA,NA,NA,0.896897006,0.882448129,0.911345882,0.836791575,0.813207232,0.860375919,0.91905177,0.908012802,0.930090738
20,15/08/2022,228.6666667,39.66666667,181,8,NA,NA,NA,NA,NA,NA,NA,0.805508939,0.791260831,0.819757047,0.780319049,0.757930679,0.802707419,0.837493518,0.815443262,0.859543774
21,22/08/2022,106.6666667,25,77.33333333,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774921242,0.737018862,0.812823622,0.776792329,0.743858515,0.809726142
22,29/08/2022,87.66666667,15.66666667,66.66666667,5.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826526159,0.79099276,0.862059558,0.903663942,0.880388608,0.926939276
23,05/09/2022,80,13.66666667,64.66666667,1.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781936918,0.760431775,0.803442061,0.906696112,0.896511363,0.916880862
24,12/09/2022,61.16666667,4,52.16666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681518265,0.625066067,0.737970462,0.861239902,0.823382073,0.89909773
25,19/09/2022,45,4,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895011399,0.867539544,0.922483253
26,26/09/2022,11.33333333,1.333333333,9.666666667,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.860399107,0.805499188,0.915299025
