index,week,curve,gbmsm,na_gbmsm,nongbmsm,seqn_fit0,seqn_fit1,lower_seqn_fit1,upper_seqn_fit1,seqn_fit2,lower_seqn_fit2,upper_seqn_fit2,seqn_fit3,lower_seqn_fit3,upper_seqn_fit3,seqn_fit4,lower_seqn_fit4,upper_seqn_fit4,seqn_fit5,lower_seqn_fit5,upper_seqn_fit5
5,02/05/2022,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,09/05/2022,5.333333333,4,0,1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,16/05/2022,65,64,1,0,0.976,0.8719868,0.76,0.96,0.8953912,0.76,1,0.8801828,0.76,1,0.9122696,0.8,1,0.9157204,0.8,1
8,23/05/2022,134,106,27,1,0.976,0.8719868,0.76,0.96,0.8953912,0.76,1,0.8801828,0.76,1,0.9122696,0.8,1,0.9157204,0.8,1
9,30/05/2022,131,102,24,5,NA,0.771343478,0.652173913,0.869565217,0.843857826,0.695652174,0.956521739,0.825218696,0.695652174,0.956521739,0.901202609,0.782608696,1,0.900669565,0.782608696,1
10,06/06/2022,196,148,41,7,NA,0.808105152,0.696969697,0.909090909,0.83495,0.727272727,0.939393939,0.83701303,0.727272727,0.939393939,0.827286667,0.696969697,0.939393939,0.885789394,0.787878788,0.96969697
11,13/06/2022,327,197,122,8,NA,0.885610286,0.838095238,0.923809524,0.90097981,0.847619048,0.942857143,0.87448619,0.819047619,0.923809524,0.910487333,0.857142857,0.961904762,0.937890286,0.895238095,0.971428571
12,20/06/2022,354.5,156.5,195,3,NA,0.889922849,0.860465116,0.918604651,0.926248547,0.895348837,0.953488372,0.908370756,0.86627907,0.941860465,0.920847791,0.88372093,0.953488372,0.957662209,0.930232558,0.98255814
13,27/06/2022,265,79,181,5,NA,NA,NA,NA,0.946457636,0.9,0.981818182,0.888794,0.827272727,0.945454545,0.932823727,0.881818182,0.972727273,0.961570364,0.927272727,0.990909091
14,04/07/2022,425,121.3333333,297.6666667,6,NA,NA,NA,NA,0.954488243,0.932907348,0.974440895,0.929290607,0.900958466,0.955271565,0.931345655,0.904153355,0.955271565,0.962214728,0.942492013,0.980830671
15,11/07/2022,430,157,266,7,NA,NA,NA,NA,0.928597673,0.899371069,0.955974843,0.904400755,0.86163522,0.943396226,0.895754969,0.855345912,0.93081761,0.929492893,0.899371069,0.955974843
16,18/07/2022,396,107.5,282.5,6,NA,NA,NA,NA,0.96189584,0.94,0.984,0.9296766,0.9,0.96,0.9440962,0.916,0.968,0.976702,0.956,0.992
17,25/07/2022,381.5,103.5,268,10,NA,NA,NA,NA,NA,NA,NA,0.896632055,0.858447489,0.931506849,0.911109361,0.876712329,0.940639269,0.945136347,0.917808219,0.97260274
18,01/08/2022,293.6666667,75.33333333,208,10.33333333,NA,NA,NA,NA,NA,NA,NA,0.82987177,0.784688995,0.875598086,0.864654737,0.818181818,0.90430622,0.91302134,0.880382775,0.942583732
19,08/08/2022,209.3333333,60.33333333,143,6,NA,NA,NA,NA,NA,NA,NA,0.889960657,0.839416058,0.941605839,0.824452263,0.766423358,0.883211679,0.920350073,0.875912409,0.96350365
20,15/08/2022,228.6666667,39.66666667,181,8,NA,NA,NA,NA,NA,NA,NA,0.800785824,0.741176471,0.858823529,0.781597118,0.717647059,0.841176471,0.796462294,0.741176471,0.847058824
21,22/08/2022,106.6666667,25,77.33333333,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806291375,0.725,0.8875,0.69575725,0.6,0.7875
22,29/08/2022,87.66666667,15.66666667,66.66666667,5.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805313818,0.709090909,0.909090909,0.726465273,0.618181818,0.818181818
23,05/09/2022,80,13.66666667,64.66666667,1.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781359589,0.684931507,0.863013699,0.653961096,0.561643836,0.753424658
24,12/09/2022,61.16666667,4,52.16666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731156957,0.608695652,0.847826087,0.592465,0.47826087,0.717391304
25,19/09/2022,45,5,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64667,0.514285714,0.771428571
26,26/09/2022,24.33333333,2.666666667,21,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590181739,0.434782609,0.739130435
