index,week,curve,gbmsm,na_gbmsm,nongbmsm,seqn_fit6,lower_seqn_fit6,upper_,seqn_fit7,lower_seqn_fit7,upper_seqn_fit7
5,02/05/2022,2,0,0,2,0,0,0,0,0,0
6,09/05/2022,5.333333333,4,0,1.333333333,0,0,0,0,0,0
7,16/05/2022,65,64,1,0,0.8896624,0.76,1,0.9349456,0.84,1
8,23/05/2022,134,106,27,1,0.8896624,0.76,1,0.9349456,0.84,1
9,30/05/2022,131,102,24,5,0.823260435,0.695652174,0.956521739,0.902798696,0.782608696,1
10,06/06/2022,196,148,41,7,0.786609697,0.666666667,0.909090909,0.816688485,0.696969697,0.909090909
11,13/06/2022,327,197,122,8,0.895734952,0.838095238,0.942857143,0.912893905,0.866666667,0.952380952
12,20/06/2022,354.5,156.5,195,3,0.89848843,0.860465116,0.936046512,0.928525814,0.895348837,0.959302326
13,27/06/2022,265,79,181,5,0.918413,0.863636364,0.963636364,0.917241,0.863636364,0.963636364
14,04/07/2022,425,121.3333333,297.6666667,6,0.938368946,0.913738019,0.961661342,0.933861022,0.910543131,0.955271565
15,11/07/2022,430,157,266,7,0.903868805,0.867924528,0.937106918,0.897147925,0.86163522,0.924528302
16,18/07/2022,396,107.5,282.5,6,0.9591324,0.936,0.98,0.95782372,0.936,0.98
17,25/07/2022,381.5,103.5,268,10,0.91926653,0.885844749,0.949771689,0.924352283,0.894977169,0.949771689
18,01/08/2022,293.6666667,75.33333333,208,10.33333333,0.87673823,0.832535885,0.918660287,0.867198086,0.827751196,0.90430622
19,08/08/2022,209.3333333,60.33333333,143,6,0.843327518,0.788321168,0.897810219,0.836661898,0.781021898,0.890510949
20,15/08/2022,228.6666667,39.66666667,181,8,0.767988294,0.705882353,0.829411765,0.774916176,0.717647059,0.829411765
21,22/08/2022,106.6666667,25,77.33333333,4.333333333,0.72360125,0.625,0.8125,0.70850375,0.625,0.7875
22,29/08/2022,87.66666667,15.66666667,66.66666667,5.333333333,0.767287636,0.654545455,0.872727273,0.791753091,0.690909091,0.872727273
23,05/09/2022,80,13.66666667,64.66666667,1.666666667,0.731488082,0.630136986,0.821917808,0.751639041,0.657534247,0.835616438
24,12/09/2022,61.16666667,4.75,51.41666667,5,0.682616522,0.565217391,0.804347826,0.63919587,0.52173913,0.760869565
25,19/09/2022,45,6.5,35.5,3,0.719845455,0.575757576,0.848484848,0.687564545,0.545454545,0.818181818
26,26/09/2022,24.33333333,4.666666667,18.66666667,1,0.649952857,0.476190476,0.857142857,0.708332857,0.523809524,0.857142857
27,03/10/2022,21,0.333333333,19.66666667,1,0.670046875,0.4375,0.875,0.794705,0.5625,0.9375
28,10/10/2022,16.33333333,3,12.33333333,1,0.650374615,0.384615385,0.923076923,0.76896,0.538461538,1
29,17/10/2022,15,1.333333333,13.33333333,0.333333333,NA,NA,NA,0.717918333,0.5,0.916666667
