rank,mean_sizes,median_sizes,perc_2_5,perc_97_5
1,89260.379,59083.0,32022.9,367425.62500000006
2,58129.074,47162.0,28115.125,153549.67500000016
3,46475.309,40978.0,26062.775,100863.22500000003
4,39722.1975,36826.0,24105.25,76112.50000000001
5,35260.2675,33250.0,22332.475,63305.02500000001
6,31612.124,30693.5,12385.0,51739.95000000002
7,28859.8765,28417.5,6110.925,42850.20000000001
8,26508.895,26542.5,3717.4750000000004,37738.200000000004
9,24591.285,24877.5,1915.1000000000001,34320.50000000001
10,22978.08,23485.5,1278.2250000000001,31865.875000000004
11,21533.929,22280.0,549.3000000000001,29378.275
12,20213.5685,21091.5,216.75,26870.4
13,19019.177,20171.0,133.775,25047.675000000003
14,18009.85,19270.5,70.9,23666.475000000006
15,17089.3845,18481.0,45.87500000000001,22595.5
16,16178.3705,17647.5,17.0,21245.175
17,15337.113,16912.0,8.0,20183.000000000004
18,14556.2495,16228.0,3.9750000000000014,19370.175
19,13833.384,15530.5,2.950000000000003,18654.000000000004
20,13183.4525,14876.0,0.0,17862.1
21,12554.9875,14191.5,0.0,17281.125
22,11951.556,13619.0,0.0,16710.1
23,11373.7635,12983.0,0.0,16211.075
24,10809.4175,12369.0,0.0,15671.25
25,10285.173,11772.5,0.0,15121.350000000002
26,9808.243,11271.0,0.0,14682.725000000002
27,9341.5115,10649.5,0.0,14297.025
28,8894.7915,10167.0,0.0,13918.25
29,8464.703,9720.5,0.0,13601.0
30,8041.722,9160.0,0.0,13225.150000000001
31,7637.703,8674.5,0.0,12835.175000000001
32,7238.696,8117.0,0.0,12518.400000000001
33,6863.9345,7728.5,0.0,12211.25
34,6486.7125,7233.5,0.0,11822.300000000001
35,6144.84,6756.5,0.0,11393.250000000004
36,5804.062,6340.0,0.0,11132.975000000004
37,5467.6275,5897.0,0.0,10799.375000000002
38,5139.75,5503.0,0.0,10507.05
39,4808.208,5061.5,0.0,10230.2
40,4496.172,4690.0,0.0,9777.175000000001
41,4171.2365,4284.0,0.0,9385.650000000001
42,3866.872,3889.5,0.0,8997.325
43,3556.3605,3516.5,0.0,8629.325
44,3216.1805,3044.5,0.0,8265.625000000002
45,2899.1955,2618.0,0.0,7900.150000000001
46,2579.866,2271.0,0.0,7529.05
47,2233.1245,1832.5,0.0,6762.200000000001
48,1871.283,1402.0,0.0,6127.150000000001
49,1485.302,938.5,0.0,5505.2750000000015
50,994.0395,407.5,0.0,4625.4000000000015
