Date,Projected GBMSM cases (post. mean; unmitigated),Projected GBMSM cases (post. 25%; unmitigated),Projected GBMSM cases (post. 75%; unmitigated),Projected GBMSM cum. cases (post. mean; unmitigated),Projected GBMSM cum. cases (post. 25%; unmitigated),Projected GBMSM cum. cases (post. 75%; unmitigated),Projected non-GBMSM cases (post. mean; unmitigated),Projected non-GBMSM cases (post. 25%; unmitigated),Projected non-GBMSM cases (post. 75%; unmitigated),Projected non-GBMSM cum. cases (post. mean; unmitigated),Projected non-GBMSM cum. cases (post. 25%; unmitigated),Projected non-GBMSM cum. cases (post. 75%; unmitigated)
2022-05-02,57.4425,24.0,78.0,57.4425,24.0,78.0,0.145,0.0,0.0,0.145,0.0,0.0
2022-05-09,91.278,44.0,124.0,148.7205,70.0,202.0,2.6315,1.0,4.0,2.7765,1.0,4.0
2022-05-16,127.987,72.75,169.0,276.7075,147.0,372.0,6.636,2.0,9.0,9.4125,3.0,12.0
2022-05-23,140.433,83.0,178.0,417.1405,241.75,546.0,11.6625,4.0,16.0,21.075,8.0,28.0
2022-05-30,142.1205,80.0,177.0,559.261,341.0,716.0,16.7315,7.0,23.0,37.8065,15.0,50.0
2022-06-06,159.645,85.75,201.25,718.906,450.0,908.0,20.64,9.0,27.0,58.4465,26.0,78.0
2022-06-13,206.312,103.0,267.0,925.218,566.0,1164.5,23.459,11.0,30.0,81.9055,38.0,107.0
2022-06-20,285.056,136.0,373.25,1210.274,717.0,1529.25,27.6415,12.0,36.0,109.547,51.0,143.0
2022-06-27,388.47,185.0,522.0,1598.744,915.5,2036.25,34.5695,14.0,45.0,144.1165,67.0,187.25
2022-07-04,493.62,251.0,656.0,2092.364,1189.5,2700.25,46.2175,18.0,62.0,190.334,86.0,241.0
2022-07-11,589.1205,327.75,760.0,2681.4845,1547.75,3460.25,60.3845,22.0,82.0,250.7185,110.0,322.0
2022-07-18,662.509,391.75,839.5,3343.9935,1960.25,4263.25,77.738,29.0,104.0,328.4565,142.0,427.25
2022-07-25,711.8425,415.0,913.0,4055.836,2444.75,5143.75,93.839,36.0,127.0,422.2955,181.0,557.5
2022-08-01,740.338,408.0,934.25,4796.174,2991.25,6004.0,109.638,44.0,146.0,531.9335,231.0,705.5
2022-08-08,754.2715,386.75,969.75,5550.4455,3535.75,6960.75,121.9125,52.0,161.0,653.846,287.0,870.0
2022-08-15,753.1475,360.0,974.0,6303.593,4033.0,7856.5,131.335,56.0,175.0,785.181,348.0,1042.25
2022-08-22,740.621,328.0,979.5,7044.214,4521.0,8719.5,138.25,59.75,177.25,923.431,413.0,1224.5
2022-08-29,716.0885,278.0,967.0,7760.3025,4979.5,9632.5,142.158,60.0,180.0,1065.589,485.0,1418.0
2022-09-05,682.571,220.75,951.5,8442.8735,5310.25,10542.75,142.8925,59.0,179.25,1208.4815,557.75,1595.5
2022-09-12,641.53,174.0,915.0,9084.4035,5685.0,11254.25,142.2875,54.0,182.0,1350.769,629.75,1767.75
2022-09-19,590.233,131.75,879.0,9674.6365,5915.5,12102.5,138.2775,49.0,175.0,1489.0465,707.0,1926.25
2022-09-26,536.9435,99.75,804.75,10211.58,6167.25,12781.0,133.533,43.0,169.0,1622.5795,767.75,2093.75
2022-10-03,482.787,71.0,750.75,10694.367,6434.0,13366.25,126.3185,36.0,163.25,1748.898,843.0,2253.25
2022-10-10,429.5195,53.0,670.0,11123.8865,6634.5,13981.5,117.5115,28.0,154.25,1866.4095,890.5,2398.0
