Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12 wk reversion + no vacs),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4 wk reversion + no vacs)
2022-05-02,NA,58.591,13.0,121.0,58.77,13.0,120.0,58.6055,13.0,122.0,58.89,13.0,119.19999999999982,58.574,13.0,120.0
2022-05-09,NA,92.6465,24.0,173.0,92.332,24.0,173.0,94.113,25.0,183.0,93.142,24.0,177.0999999999999,92.4295,25.0,177.0
2022-05-16,64.962112069,128.7855,46.0,228.0,129.3915,46.0,229.0,131.3915,46.0,233.0,129.859,46.0,229.0,129.5935,43.0,231.0
2022-05-23,131.977025863,139.849,58.0,233.0,139.806,57.0,241.0,143.9165,60.0,245.0999999999999,140.472,57.0,241.0,140.523,55.0,246.0
2022-05-30,124.25361287999999,140.8765,55.0,240.0999999999999,141.624,57.0,245.0,146.8275,58.0,254.0,141.268,56.0,243.0999999999999,140.812,54.0,249.0
2022-06-06,182.831719945,155.1215,58.0,275.0999999999999,156.066,58.0,277.0999999999999,162.284,61.0,287.0,155.605,57.0,276.0,155.143,58.0,273.1999999999998
2022-06-13,311.406767702,192.1825,66.0,340.0,191.4855,68.0,336.0,200.3135,69.0,357.0999999999999,192.614,67.0,341.0,191.3555,65.0,343.0
2022-06-20,342.190279775,243.322,78.0,431.0,241.735,81.9,432.0,249.6815,82.0,437.0,242.2255,82.9,427.0999999999999,243.9025,80.0,423.0999999999999
2022-06-27,251.110710262,290.402,99.0,485.1999999999998,287.8005,96.0,491.0,297.36,101.0,499.0999999999999,288.9105,101.0,492.1999999999998,290.4495,96.0,486.0999999999999
2022-07-04,404.26234502934966,332.359,121.0,539.0999999999999,327.1235,119.9,536.0,339.823,121.9,550.0,330.3425,125.0,537.0999999999999,334.693,119.9,541.0
2022-07-11,406.09991503599997,347.593,137.0,548.0,342.5275,130.0,542.0,355.6785,142.0,564.0999999999999,345.6605,132.0,556.0,349.9525,139.0,552.0999999999999
2022-07-18,380.38722051499997,323.3615,137.0,491.0,316.2815,132.0,484.0999999999999,327.6105,139.0,498.0,322.242,130.0,500.0,322.9775,137.9,493.1999999999998
2022-07-25,356.355152232,283.384,129.0,423.0,278.7175,125.0,420.0999999999999,287.722,130.9,434.0,283.25,123.9,433.0,284.3185,127.0,429.0999999999999
2022-08-01,256.780315618,249.1595,120.9,373.0,246.249,112.0,368.0,252.521,120.9,382.0,249.7985,108.9,382.0,251.3025,114.0,381.0
2022-08-08,191.75773644000003,219.0775,107.9,332.0999999999999,216.5305,100.9,331.0999999999999,222.891,105.9,338.0,218.2435,96.0,335.0,221.2585,100.9,341.0
2022-08-15,191.25299342800002,155.057,75.0,239.0,153.219,68.0,237.0999999999999,160.553,77.0,245.0,153.249,70.0,236.0,159.6765,74.0,250.0
2022-08-22,85.07194010674402,113.231,52.0,179.0,111.551,48.0,179.0999999999999,125.6615,56.0,196.0999999999999,111.1975,49.0,176.0,125.3465,56.0,200.0
2022-08-29,75.91092947301222,84.981,36.0,141.0,83.9905,34.0,139.0999999999999,104.4245,44.0,170.0999999999999,83.7235,34.0,138.0,103.96,44.0,170.0
2022-09-05,72.29968191568899,62.111,23.0,105.09999999999991,61.33,23.0,104.0,87.688,34.900000000000006,145.0999999999999,60.926,23.0,103.0,87.436,34.0,147.0
2022-09-12,48.92801489053746,44.498,15.0,77.09999999999991,44.01,15.0,77.09999999999991,74.3875,26.0,130.0,44.4885,15.0,79.0,75.3075,26.0,133.0
2022-09-19,39.80045596,32.6215,10.0,59.0,34.355,10.0,63.09999999999991,67.7215,21.0,124.0,39.736,12.0,73.09999999999991,79.726,24.0,146.0
2022-09-26,9.650524700953467,24.1605,6.0,46.0,28.418,7.0,55.0,64.8125,18.0,121.0,41.055,10.0,80.0,95.4935,25.0,179.0
2022-10-03,NA,17.8105,4.0,36.0,23.9125,5.0,48.0,64.1135,15.0,126.0,46.7125,8.0,97.0,128.2535,27.0,252.19999999999982
2022-10-10,NA,13.6225,2.0,29.0,21.209,3.0,45.0,65.5985,12.0,130.0999999999999,59.287,7.0,131.0,191.0855,26.0,398.0
2022-10-17,NA,10.2745,1.0,22.0,19.2305,2.0,42.0,69.721,10.0,144.0,72.8735,6.0,168.0999999999999,268.0955,25.0,590.0
2022-10-24,NA,7.92,1.0,18.0,18.1665,2.0,41.09999999999991,76.0835,9.0,166.0,85.5525,5.0,199.0999999999999,340.9795,22.0,768.0
