Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-03,3949.0999538412857,3935.2894538412856,3967.2894538412856,3955.2019538412856,3936.2894538412856,3979.2894538412856,3995.4029538412856,3946.2894538412856,4057.2894538412856,3978.0019538412857,3939.2894538412856,4028.2894538412856,4059.5429538412855,3958.2894538412856,4183.4894538412855
2022-10-10,3962.7224538412856,3938.2894538412856,3995.2894538412856,3976.410953841286,3940.2894538412856,4023.2894538412856,4061.0014538412856,3958.2894538412856,4184.389453841286,4037.2889538412855,3947.2894538412856,4157.289453841286,4250.628453841286,3983.2894538412856,4586.289453841286
2022-10-17,3972.9969538412856,3939.2894538412856,4016.2894538412856,3995.6414538412855,3943.2894538412856,4065.2894538412856,4130.722453841286,3970.1894538412857,4330.289453841286,4110.162453841285,3955.289453841285,4325.289453841286,4518.723953841286,4009.289453841286,5157.289453841286
2022-10-24,3980.9169538412857,3940.2894538412856,4033.2894538412856,4013.807953841286,3946.1894538412857,4104.289453841286,4206.805953841285,3980.289453841285,4490.4894538412855,4195.714953841286,3961.289453841286,4518.589453841286,4859.703453841285,4035.1894538412853,5922.389453841285
2022-10-31,3987.0319538412855,3942.1894538412853,4046.2894538412856,4031.6434538412855,3947.2894538412856,4144.289453841286,4291.9584538412855,3991.2894538412856,4667.389453841285,4292.403953841285,3967.289453841285,4757.589453841285,5260.647953841286,4058.2894538412856,6807.589453841286
2022-11-07,3991.7384538412857,3942.2894538412856,4058.2894538412856,4050.1559538412857,3948.2894538412856,4184.4894538412855,4390.115453841286,3999.2894538412856,4891.4894538412855,4399.952953841285,3971.289453841285,5004.189453841284,5702.853953841286,4075.289453841286,7838.689453841285
2022-11-14,3995.4279538412857,3942.2894538412856,4064.2894538412856,4069.6374538412856,3950.2894538412856,4234.289453841286,4504.893953841286,4005.289453841286,5157.589453841286,4514.271453841286,3974.2894538412856,5298.389453841286,6164.355453841285,4094.2894538412856,8980.489453841285
2022-11-21,3998.339453841286,3942.2894538412856,4072.2894538412856,4090.9714538412854,3951.2894538412856,4286.389453841285,4641.666953841286,4014.289453841286,5482.789453841286,4632.619453841286,3977.1894538412853,5567.889453841285,6639.391953841286,4107.189453841285,10150.989453841283
2022-11-28,4000.6279538412855,3943.2894538412856,4077.2894538412856,4115.180453841285,3952.289453841285,4348.389453841285,4807.198953841285,4019.2894538412856,5905.589453841285,4751.172953841286,3979.2894538412856,5821.689453841285,7125.506453841286,4118.989453841286,11240.189453841283
2022-12-05,4002.4669538412854,3943.2894538412856,4082.2894538412856,4143.568953841285,3952.289453841285,4427.4894538412855,5006.103453841286,4027.1894538412857,6428.889453841285,4868.137453841286,3981.1894538412857,6087.789453841284,7617.042453841286,4129.089453841287,12430.389453841286
2022-12-12,4003.881953841286,3943.2894538412856,4085.3894538412856,4175.852453841286,3952.2894538412856,4500.289453841286,5236.635953841285,4031.1894538412853,6993.789453841284,4982.8599538412855,3982.2894538412856,6385.689453841285,8107.262453841286,4137.289453841286,13645.089453841285
2022-12-19,4005.073953841286,3943.2894538412856,4088.2894538412856,4211.043953841286,3953.2894538412856,4593.689453841285,5487.813453841285,4033.289453841285,7626.289453841284,5093.879453841286,3983.2894538412856,6708.9894538412855,8582.900453841285,4146.289453841285,14877.789453841284
2022-12-26,4005.9864538412858,3943.2894538412856,4091.2894538412856,4248.526953841286,3953.2894538412856,4692.4894538412855,5754.499453841286,4037.2894538412856,8261.989453841285,5200.697953841285,3984.289453841285,7000.289453841284,9035.690953841286,4153.089453841286,16138.989453841281
2023-01-02,4006.7179538412856,3943.2894538412856,4092.2894538412856,4287.292453841285,3954.289453841285,4788.089453841285,6031.885953841285,4040.1894538412853,8986.889453841284,5304.168453841286,3985.1894538412857,7277.789453841284,9456.897453841286,4157.189453841285,17349.689453841285
2023-01-09,4007.348453841286,3943.2894538412856,4093.3894538412856,4326.761453841285,3954.2894538412856,4903.689453841285,6317.726453841286,4042.089453841286,9769.189453841285,5401.713453841286,3985.2894538412856,7515.089453841285,9841.179453841287,4161.089453841287,18093.189453841278
2023-01-16,4007.8139538412856,3943.2894538412856,4094.3894538412856,4365.990953841286,3955.1894538412857,4997.9894538412855,6609.303453841286,4044.1894538412857,10503.889453841284,5494.991953841286,3986.189453841286,7747.889453841285,10186.861953841286,4163.089453841286,18982.38945384128
2023-01-23,4008.2089538412856,3943.2894538412856,4096.289453841286,4404.883953841286,3955.1894538412857,5111.789453841286,6905.604453841286,4046.189453841286,11395.989453841285,5583.250953841285,3986.289453841285,7962.789453841284,10493.983953841285,4165.089453841286,19855.18945384128
2023-01-30,4008.5504538412856,3943.2894538412856,4097.289453841286,4443.535953841286,3955.2894538412856,5230.689453841285,7202.599453841285,4046.289453841285,12140.289453841286,5667.312953841286,3986.2894538412856,8244.889453841286,10764.011953841286,4166.089453841286,20734.389453841286
2023-02-06,4008.8054538412857,3943.2894538412856,4098.289453841286,4481.346453841285,3955.2894538412856,5346.989453841285,7497.3869538412855,4047.1894538412857,13031.589453841283,5746.715453841285,3986.289453841285,8458.489453841285,10999.617953841285,4167.289453841286,21495.589453841283
2023-02-13,4009.0189538412856,3943.2894538412856,4099.289453841286,4518.633453841286,3955.2894538412856,5460.289453841286,7785.692953841286,4048.189453841286,13960.789453841284,5821.357953841286,3986.2894538412856,8641.58945384128,11204.041953841286,4167.289453841287,22020.389453841286
