Date,Inferred non-GBMSM cases,Projected non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected non-GBMSM cases (post. mean; 12wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 10%; 12wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 90%; 12wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected non-GBMSM cases (post. mean; 4wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 10%; 4wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 90%; 4wk reversion + ceased vac rollout)
2022-05-02,NA,0.0665,0.0,0.0,0.0765,0.0,0.0,0.063,0.0,0.0,0.073,0.0,0.0,0.0725,0.0,0.0
2022-05-09,NA,1.3265,0.0,3.0,1.3585,0.0,3.0,1.3215,0.0,3.0,1.3445,0.0,3.0,1.345,0.0,3.0
2022-05-16,0.0,3.3865,0.0,7.0,3.262,0.0,7.0,3.34,0.0,7.0,3.4095,0.0,7.0,3.405,0.0,7.0
2022-05-23,2.9807320749999997,6.5775,1.0,14.0,6.5355,1.0,14.0,6.431,1.0,13.0,6.5265,1.0,13.0,6.4825,1.0,13.0
2022-05-30,7.907260224000002,10.7565,2.0,22.0,10.402,2.0,21.0,10.634,2.0,21.0,10.658,2.0,21.0,10.548,2.0,21.0
2022-06-06,8.079084832,15.103,4.0,30.0,14.457,4.0,29.0,14.9435,4.0,29.0,14.943,4.0,29.0,14.4535,4.0,28.0
2022-06-13,17.362328099999996,18.3605,5.0,35.0,17.7745,5.0,35.0,18.618,5.0,35.09999999999991,18.3425,5.0,34.0,17.9945,5.0,35.0
2022-06-20,16.202893648,20.3675,5.0,40.0,19.7175,5.0,39.0,20.4905,5.0,40.0,20.5565,5.0,40.0,19.9425,5.0,39.0
2022-06-27,11.005845965999997,21.1405,5.0,42.0,20.6535,4.0,41.0,21.218,5.0,42.0,21.361,5.0,42.0,20.596,5.0,40.0
2022-07-04,26.54696994600001,22.094,5.0,46.0,21.778,4.0,45.0,22.417,4.900000000000006,46.0,22.64,4.0,46.0,21.962,4.0,45.0
2022-07-11,15.276392049999995,21.2055,4.0,43.0,20.876,4.0,42.0,21.7375,4.0,44.0,21.394,4.0,44.0,21.19,4.0,44.0
2022-07-18,22.19172586199999,20.82,3.0,44.0,20.2695,3.0,43.0,21.222,3.0,45.0,21.466,3.0,43.0,20.627,3.0,43.0
2022-07-25,22.92795056,19.1295,3.0,40.0,18.6785,3.0,38.09999999999991,19.507,3.0,41.0,19.443,3.0,40.09999999999991,18.6215,3.0,40.0
2022-08-01,23.153942750000002,16.8415,2.0,36.0,16.515,2.0,35.0,17.16,3.0,35.0,17.0335,2.0,36.0,16.4605,2.0,36.09999999999991
2022-08-08,14.845399040000004,15.3505,2.0,33.0,14.815,2.0,31.0,15.5265,2.0,33.0,15.384,2.0,34.0,14.9385,2.0,33.0
2022-08-15,14.456673968,11.624,1.0,26.0,11.5215,1.0,26.0,11.8725,1.0,27.0,11.893,1.0,26.0,11.6785,1.0,26.0
2022-08-22,10.443864978999999,9.705,1.0,22.0,9.4065,1.0,21.0,9.7415,1.0,22.0,9.757,1.0,23.0,9.5325,1.0,22.0
2022-08-29,6.721330223999997,7.89,0.0,19.0,7.6535,0.0,18.0,7.876,0.0,18.0,7.944,0.0,18.0,7.893,0.0,19.0
2022-09-05,9.915713438000001,6.4385,0.0,15.0,6.2605,0.0,15.0,6.499,0.0,15.0,6.4615,0.0,15.0,6.3935,0.0,15.0
2022-09-12,NA,5.2775,0.0,12.0,5.1525,0.0,12.0,5.1955,0.0,12.0,5.277,0.0,13.0,5.1665,0.0,12.0
2022-09-19,NA,4.1255,0.0,10.0,4.302,0.0,10.0,4.429,0.0,11.0,5.128,0.0,12.0,5.0185,0.0,12.0
2022-09-26,NA,3.2815,0.0,8.0,3.6485,0.0,9.0,3.8545,0.0,10.0,5.316,0.0,12.0,5.2535,0.0,12.0
2022-10-03,NA,2.4865,0.0,6.0,3.21,0.0,8.0,3.2105,0.0,8.0,6.24,0.0,14.0,6.174,0.0,14.0
2022-10-10,NA,1.869,0.0,5.0,2.8065,0.0,7.0,2.8245,0.0,7.0,7.8365,1.0,17.0,7.99,1.0,18.0
2022-10-17,NA,1.365,0.0,4.0,2.3835,0.0,6.0,2.58,0.0,6.0,9.548,1.0,21.09999999999991,9.901,1.0,23.0
2022-10-24,NA,1.03,0.0,3.0,2.0635,0.0,5.0,2.356,0.0,6.0,10.3425,1.0,24.0,11.763,1.0,27.0
2022-10-31,NA,0.8125,0.0,2.0,1.8705,0.0,5.0,2.2235,0.0,6.0,11.169,0.0,25.0,13.8935,1.0,32.0
2022-11-07,NA,0.5495,0.0,2.0,1.7645,0.0,5.0,2.2135,0.0,6.0,12.069,0.0,27.0,16.436,1.0,39.0
2022-11-14,NA,0.398,0.0,1.0,1.6395,0.0,4.099999999999909,2.2755,0.0,6.0,12.606,0.0,30.0,19.2795,0.0,44.0
2022-11-21,NA,0.2875,0.0,1.0,1.554,0.0,4.0,2.4525,0.0,6.0,13.1965,0.0,33.0,22.355,0.0,53.0
2022-11-28,NA,0.2235,0.0,1.0,1.5475,0.0,4.0,2.7405,0.0,7.0,13.9655,0.0,33.0,25.4495,0.0,61.0
2022-12-05,NA,0.1645,0.0,1.0,1.67,0.0,5.0,3.3025,0.0,9.0,14.586,0.0,34.0,28.6295,0.0,64.09999999999991
2022-12-12,NA,0.135,0.0,0.0,1.7645,0.0,5.0,3.838,0.0,10.0,14.8885,0.0,34.09999999999991,31.187,0.0,71.09999999999991
2022-12-19,NA,0.0855,0.0,0.0,1.79,0.0,5.0,4.39,0.0,12.0,15.6345,0.0,35.0,33.9755,0.0,74.0
2022-12-26,NA,0.0685,0.0,0.0,1.919,0.0,5.0,5.073,0.0,14.0,15.799,0.0,34.0,36.1025,0.0,74.19999999999982
2023-01-02,NA,0.058,0.0,0.0,2.008,0.0,6.0,5.907,0.0,15.0,16.3385,0.0,35.09999999999991,37.3815,0.0,78.0
2023-01-09,NA,0.042,0.0,0.0,2.063,0.0,6.0,6.519,0.0,17.0,16.2685,0.0,36.0,39.3065,0.0,79.09999999999991
2023-01-16,NA,0.027,0.0,0.0,2.1425,0.0,6.0,7.2265,0.0,19.0,16.515,0.0,35.0,40.6435,0.0,85.0
2023-01-23,NA,0.0245,0.0,0.0,2.166,0.0,6.0,7.9715,0.0,21.0,16.2415,0.0,33.0,42.9305,0.0,82.09999999999991
2023-01-30,NA,0.0175,0.0,0.0,2.3285,0.0,6.0,8.4285,0.0,23.0,16.3205,0.0,32.09999999999991,44.166,0.0,86.09999999999991
2023-02-06,NA,0.0105,0.0,0.0,2.3955,0.0,6.0,9.031,0.0,24.0,16.021,0.0,30.0,44.233,0.0,81.09999999999991
2023-02-13,NA,0.011,0.0,0.0,2.416,0.0,6.0,9.3535,0.0,26.0,15.901,0.0,29.0,45.152,0.0,84.09999999999991
2023-02-20,NA,0.0065,0.0,0.0,2.4485,0.0,6.0,9.638,0.0,27.0,16.48,0.0,30.0,45.2255,0.0,84.0
2023-02-27,NA,0.005,0.0,0.0,2.421,0.0,6.0,9.7275,0.0,28.0,16.595,0.0,28.0,45.4465,0.0,81.0
2023-03-06,NA,0.005,0.0,0.0,2.4385,0.0,6.0,10.012,0.0,28.0,16.1955,0.0,27.0,44.424,0.0,81.0
