Date,Inferred non-GBMSM cases,Projected non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-05-02,NA,0.131,0.0,1.0,0.1395,0.0,1.0,0.1335,0.0,1.0,0.157,0.0,1.0,0.1425,0.0,1.0
2022-05-09,NA,2.5855,0.0,6.0,2.541,0.0,6.0,2.5725,0.0,6.0,2.5775,0.0,6.0,2.529,0.0,6.0
2022-05-16,0.037887930999999986,6.482,1.0,14.0,6.4525,1.0,14.0,6.4715,1.0,14.0,6.402,1.0,14.0,6.4205,1.0,15.0
2022-05-23,2.0229741369999994,11.5745,2.0,24.0,11.3085,2.0,24.0,11.6245,2.0,25.0,11.551,2.0,25.0,11.3515,2.0,24.0
2022-05-30,6.74638712,16.566,4.0,33.0,16.6065,4.0,33.0,16.9195,4.0,33.09999999999991,16.4105,3.0,33.0,16.4955,4.0,33.0
2022-06-06,13.168280054999999,19.8625,5.0,38.0,19.8435,5.0,38.0,20.499,5.0,39.0,19.8545,5.0,37.09999999999991,19.6885,5.0,39.0
2022-06-13,15.593232298000004,21.781,6.0,42.0,21.6865,6.0,41.0,22.832,6.0,43.0,21.6255,6.0,41.0,21.9125,6.0,44.0
2022-06-20,12.309720225000001,22.7995,6.0,44.0,22.7235,6.0,44.0,23.8895,6.0,46.0,22.782,6.0,43.0,22.9745,6.0,45.0
2022-06-27,13.88928973800001,23.483,6.0,46.0,23.6755,6.0,45.0,24.641,6.0,48.0,23.515,6.0,45.0,23.5435,6.0,46.0
2022-07-04,20.73765497065035,25.344,6.0,48.0,25.5645,6.0,51.0,26.3505,6.0,52.0,25.47,6.0,49.0,25.681,6.0,51.0
2022-07-11,23.900084963999987,26.822,6.0,52.0,26.7235,6.0,54.0,27.8045,6.0,55.0,26.6985,6.0,51.0,27.04,6.0,54.0
2022-07-18,15.612779485000006,26.4055,6.0,51.09999999999991,25.85,6.0,52.0,26.755,5.0,52.0,25.89,5.0,50.09999999999991,26.241,6.0,52.0
2022-07-25,25.144847768,24.479,5.0,48.0,24.0035,5.0,47.0,24.9395,5.0,50.0,24.4585,5.0,49.0,24.5085,5.0,49.0
2022-08-01,36.88635104200001,22.5615,4.0,44.0,22.1605,4.0,44.0,22.7625,4.0,46.0,22.4665,4.0,46.0,22.4315,4.0,45.0
2022-08-08,17.575596889999993,20.4235,4.0,41.0,20.066,4.0,40.0,20.982,3.0,43.0,20.472,3.0,42.0,20.3935,4.0,41.0
