Date,Projected Cum. non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 10%; 12wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 90%; 12wk reversion + ceased vac rollout),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 10%; 4wk reversion + ceased vac rollout),Projected non-GBMSM cases (post. 90%; 4wk reversion + ceased vac rollout)
2022-09-12,238.295607662,233.018107662,245.018107662,238.170607662,233.018107662,245.018107662,238.21360766200002,233.018107662,245.018107662,238.295107662,233.018107662,246.018107662,238.18460766200002,233.018107662,245.018107662
2022-09-19,242.421107662,234.018107662,255.018107662,242.472607662,234.018107662,254.11810766199991,242.64260766200002,234.018107662,255.018107662,243.423107662,234.018107662,256.01810766200003,243.203107662,234.018107662,256.11810766199994
2022-09-26,245.702607662,234.01810766199998,262.018107662,246.12110766200001,234.018107662,263.01810766200003,246.49710766200002,234.01810766200003,264.01810766200003,248.739107662,235.018107662,268.01810766200003,248.456607662,235.018107662,268.01810766200003
2022-10-03,248.189107662,234.018107662,268.018107662,249.331107662,234.018107662,270.018107662,249.70760766200002,235.018107662,271.01810766200003,254.979107662,236.01810766199998,280.018107662,254.63060766200002,236.018107662,280.01810766200003
2022-10-10,250.058107662,234.018107662,273.018107662,252.137607662,235.018107662,276.018107662,252.53210766200002,235.018107662,278.01810766200003,262.815607662,237.918107662,295.018107662,262.620607662,237.018107662,295.1181076619999
2022-10-17,251.423107662,234.018107662,276.01810766200003,254.52110766200002,235.01810766200003,281.01810766200003,255.112107662,235.018107662,283.018107662,272.363607662,239.01810766199998,313.018107662,272.521607662,239.018107662,315.01810766200003
2022-10-24,252.453107662,234.018107662,279.01810766200003,256.584607662,235.018107662,285.018107662,257.468107662,236.01810766200003,288.01810766200003,282.706107662,240.01810766200003,336.01810766200003,284.284607662,241.01810766199998,341.018107662
2022-10-31,253.265607662,235.018107662,280.11810766199994,258.455107662,236.01810766199998,289.018107662,259.691607662,236.01810766200003,294.01810766200003,293.875107662,242.018107662,361.11810766199994,298.178107662,242.018107662,372.01810766200003
2022-11-07,253.815107662,235.018107662,282.018107662,260.219607662,236.01810766199998,293.018107662,261.905107662,236.01810766199998,299.018107662,305.944107662,243.01810766200003,387.01810766200003,314.61410766200004,244.01810766200003,407.01810766200003
2022-11-14,254.213107662,235.018107662,283.018107662,261.859107662,236.01810766199998,297.018107662,264.180607662,237.018107662,302.018107662,318.550107662,244.01810766200003,413.01810766200003,333.893607662,246.01810766200003,453.01810766200003
2022-11-21,254.500607662,235.01810766199998,284.018107662,263.413107662,236.018107662,301.01810766200003,266.633107662,237.01810766199998,308.018107662,331.746607662,245.01810766199998,442.1181076619999,356.24860766200004,247.01810766200003,506.11810766199994
2022-11-28,254.724107662,235.018107662,284.018107662,264.96060766200003,236.01810766200003,306.01810766200003,269.373607662,237.01810766199998,312.018107662,345.712107662,246.01810766199998,472.018107662,381.698107662,249.01810766199998,568.0181076619999
2022-12-05,254.888607662,235.018107662,285.018107662,266.630607662,237.01810766199998,309.018107662,272.676107662,238.01810766199998,318.018107662,360.298107662,246.918107662,506.21810766199985,410.327607662,250.01810766199998,631.1181076619998
2022-12-12,255.02360766200002,235.018107662,285.01810766200003,268.395107662,237.01810766199998,314.018107662,276.514107662,238.018107662,326.01810766200003,375.18660766200003,247.01810766200003,536.1181076619999,441.514607662,250.918107662,709.1181076619999
2022-12-19,255.109107662,235.018107662,285.01810766200003,270.185107662,237.018107662,317.01810766200003,280.904107662,238.018107662,335.018107662,390.82110766200003,247.01810766200003,577.1181076619999,475.490107662,251.918107662,778.018107662
2022-12-26,255.177607662,235.018107662,285.01810766200003,272.104107662,237.01810766199998,322.018107662,285.977107662,239.01810766199998,347.018107662,406.620107662,247.018107662,615.018107662,511.592607662,252.01810766199998,855.0181076619999
2023-01-02,255.235607662,235.018107662,286.01810766200003,274.112107662,237.01810766200003,326.01810766200003,291.884107662,239.01810766200003,361.01810766200003,422.95860766199996,248.01810766199998,648.1181076619998,548.974107662,253.01810766200003,932.1181076619999
2023-01-09,255.277607662,235.018107662,286.01810766200003,276.175107662,237.01810766200003,331.11810766199994,298.403107662,239.01810766200003,377.11810766199994,439.227107662,248.01810766199998,680.0181076619999,588.280607662,254.01810766199998,1007.0181076619999
