Date,Projected Cum. non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-03,307.5568794977142,304.5438794977142,311.5438794977142,308.56937949771424,304.5438794977142,313.5438794977142,310.5363794977142,304.5438794977142,317.5438794977142,311.6243794977142,305.5438794977142,319.5438794977142,315.5338794977142,306.5438794977142,327.5438794977142
2022-10-10,309.8333794977142,304.5438794977142,317.5438794977142,312.0518794977142,305.5438794977142,321.5438794977142,316.4673794977142,305.5438794977142,330.5438794977142,320.44937949771423,307.5438794977142,336.5438794977142,331.6068794977142,310.5438794977142,358.5438794977142
2022-10-17,311.5998794977142,304.5438794977142,321.5438794977142,315.2173794977142,305.5438794977142,328.5438794977142,322.60037949771424,306.5438794977142,344.5438794977142,331.1018794977142,309.5438794977142,358.5438794977142,355.3178794977142,315.5438794977142,408.5438794977142
2022-10-24,312.93237949771424,304.5438794977142,324.5438794977142,318.0753794977142,305.5438794977142,334.5438794977142,329.1023794977142,308.4438794977142,357.5438794977142,343.3383794977142,311.5438794977142,385.6438794977141,388.0703794977142,320.5438794977142,479.5438794977142
2022-10-31,313.9633794977142,304.5438794977142,326.5438794977142,320.7463794977142,306.5438794977142,340.5438794977142,336.4328794977142,309.5438794977142,372.6438794977141,357.5993794977142,313.5438794977142,418.5438794977142,432.33087949771425,327.5438794977142,581.6438794977141
2022-11-07,314.7533794977142,305.5438794977142,329.5438794977142,323.3883794977142,306.5438794977142,346.5438794977142,344.7548794977142,310.5438794977142,390.5438794977142,374.3663794977142,315.5438794977142,460.6438794977141,489.5833794977142,333.5438794977142,714.743879497714
2022-11-14,315.3638794977142,305.5438794977142,330.5438794977142,326.05987949771423,307.5438794977142,352.5438794977142,354.75687949771424,311.5438794977142,410.5438794977142,393.4243794977142,316.5438794977142,504.6438794977141,560.0353794977142,339.5438794977142,886.6438794977141
2022-11-21,315.8453794977142,305.5438794977142,331.5438794977142,328.9048794977142,307.5438794977142,358.5438794977142,367.0923794977142,313.5438794977142,438.5438794977142,414.52637949771423,317.5438794977142,555.5438794977142,641.5918794977142,343.5438794977142,1093.9438794977139
2022-11-28,316.2198794977142,305.5438794977142,332.6438794977141,332.0663794977142,307.5438794977142,365.5438794977142,383.0508794977142,314.5438794977142,474.5438794977142,438.15287949771425,318.5438794977142,613.5438794977142,732.8943794977142,348.5438794977142,1301.5438794977142
2022-12-05,316.5028794977142,305.5438794977142,333.6438794977141,335.8183794977142,308.5438794977142,374.5438794977142,403.6923794977142,316.5438794977142,521.5438794977142,463.33087949771425,319.5438794977142,672.743879497714,831.2978794977142,350.5438794977142,1525.0438794977138
2022-12-12,316.73287949771424,305.5438794977142,334.5438794977142,340.09137949771423,308.5438794977142,384.5438794977142,430.0928794977142,319.5438794977142,581.6438794977141,489.89337949771425,320.5438794977142,733.743879497714,936.3898794977142,353.5438794977142,1782.843879497714
2022-12-19,316.9258794977142,305.5438794977142,334.5438794977142,345.0193794977142,308.5438794977142,396.5438794977142,461.8468794977142,321.5438794977142,662.5438794977142,517.3273794977142,320.5438794977142,803.743879497714,1045.410379497714,357.5438794977141,2060.443879497713
2022-12-26,317.0723794977142,305.5438794977142,334.6438794977141,350.4533794977142,309.5438794977142,410.5438794977142,498.8243794977142,322.5438794977142,753.6438794977141,545.1608794977142,320.5438794977142,872.5438794977142,1156.6343794977142,359.5438794977142,2351.0438794977135
2023-01-02,317.17537949771423,305.5438794977142,335.5438794977142,356.5818794977142,309.5438794977142,427.5438794977142,540.7933794977142,322.5438794977142,866.0438794977138,573.0413794977142,321.54387949771416,947.5438794977142,1268.7508794977143,360.54387949771433,2619.4438794977127
2023-01-09,317.2673794977142,305.5438794977142,336.5438794977142,363.16287949771424,309.5438794977142,445.5438794977142,586.4683794977143,324.5438794977143,973.5438794977142,600.9863794977142,322.5438794977142,1008.8438794977139,1379.2498794977141,363.5438794977142,2870.0438794977117
2023-01-16,317.3343794977142,305.5438794977142,336.5438794977142,370.2488794977142,309.5438794977142,461.6438794977141,635.8973794977142,325.54387949771416,1112.5438794977142,628.6978794977142,323.4438794977142,1065.9438794977139,1486.3293794977142,364.4438794977143,3176.643879497714
2023-01-23,317.3958794977142,305.5438794977142,336.5438794977142,377.7053794977142,309.5438794977142,483.5438794977142,688.3328794977142,326.5438794977142,1266.6438794977141,655.8273794977142,323.5438794977142,1128.743879497714,1588.3343794977143,365.4438794977143,3451.7438794977143
2023-01-30,317.4403794977142,305.5438794977142,336.5438794977142,385.3738794977142,309.5438794977142,504.5438794977142,742.9043794977142,327.5438794977142,1425.9438794977139,682.1278794977143,323.5438794977143,1183.4438794977134,1684.0393794977142,365.5438794977142,3708.7438794977143
2023-02-06,317.4723794977142,305.5438794977142,336.5438794977142,392.9868794977142,309.5438794977142,527.5438794977142,799.8638794977142,327.54387949771416,1602.6438794977141,707.7498794977142,323.5438794977142,1243.9438794977139,1772.5028794977143,366.5438794977142,3966.943879497713
2023-02-13,317.50437949771424,305.5438794977142,337.5438794977142,400.8883794977142,309.5438794977142,550.6438794977141,858.1883794977142,327.5438794977142,1773.9438794977139,732.8103794977142,323.54387949771416,1302.6438794977141,1853.1383794977141,366.5438794977142,4170.843879497714
2023-02-20,317.5318794977142,305.5438794977142,337.5438794977142,408.6268794977142,309.5438794977142,570.5438794977142,917.0313794977142,328.5438794977142,1943.743879497714,756.6488794977142,323.5438794977142,1346.1438794977137,1925.8108794977143,367.5438794977142,4353.843879497714
2023-02-27,317.55037949771423,305.5438794977142,337.5438794977142,416.38687949771423,309.5438794977142,588.6438794977141,975.2833794977142,329.5438794977142,2102.1438794977134,779.6823794977142,323.5438794977142,1394.3438794977135,1991.0288794977141,368.5438794977142,4506.643879497715
2023-03-06,317.5603794977142,305.5438794977142,337.5438794977142,424.1383794977142,309.5438794977142,609.6438794977141,1032.6343794977142,329.5438794977142,2277.143879497714,801.6893794977143,323.5438794977143,1433.5438794977142,2048.501379497714,368.543879497714,4616.943879497714
2023-03-13,317.5663794977142,305.5438794977142,337.5438794977142,431.7578794977142,309.5438794977142,628.6438794977141,1088.2143794977142,329.5438794977142,2405.3438794977137,822.5108794977142,323.5438794977142,1471.0438794977129,2098.986879497714,368.5438794977142,4718.143879497713
2023-03-20,317.5753794977142,305.5438794977142,337.5438794977142,439.2743794977142,309.5438794977142,649.5438794977142,1141.2978794977143,329.54387949771433,2555.943879497714,842.5143794977142,323.5438794977142,1533.6438794977141,2143.2663794977143,368.5438794977142,4823.843879497714
2023-03-27,317.58387949771424,305.5438794977142,337.5438794977142,446.8763794977142,309.5438794977142,670.6438794977141,1191.5953794977142,329.5438794977142,2651.0438794977135,861.5303794977142,323.5438794977142,1569.0438794977138,2181.761379497714,368.5438794977142,4945.5438794977135
