Date,Projected GBMSM cases (post. mean; unmitigated),Projected GBMSM cases (post. 10%; unmitigated),Projected GBMSM cases (post. 90%; unmitigated),Projected GBMSM cum. cases (post. mean; unmitigated),Projected GBMSM cum. cases (post. 10%; unmitigated),Projected GBMSM cum. cases (post. 90%; unmitigated),Projected non-GBMSM cases (post. mean; unmitigated),Projected non-GBMSM cases (post. 10%; unmitigated),Projected non-GBMSM cases (post. 90%; unmitigated),Projected non-GBMSM cum. cases (post. mean; unmitigated),Projected non-GBMSM cum. cases (post. 10%; unmitigated),Projected non-GBMSM cum. cases (post. 90%; unmitigated)
2022-05-02,57.567,13.0,116.0,57.567,13.0,116.0,0.1495,0.0,1.0,0.1495,0.0,1.0
2022-05-09,92.1565,25.0,174.0,149.7235,40.0,288.0999999999999,2.5895,0.0,6.0,2.739,0.0,7.0
2022-05-16,129.2875,45.0,227.0999999999999,279.011,88.0,509.0,6.5605,1.0,15.0,9.2995,1.0,21.0
2022-05-23,142.13,57.0,241.0,421.141,157.0,724.0999999999999,11.8645,2.0,26.0,21.164,3.9000000000000057,46.0
2022-05-30,146.337,57.0,251.0,567.478,234.0,935.0999999999999,16.8395,4.0,35.0,38.0035,8.0,79.0
2022-06-06,163.816,58.0,289.0,731.294,308.0,1180.1,20.8545,5.0,41.09999999999991,58.858,14.0,120.0
2022-06-13,211.2675,66.9,391.0999999999999,942.5615,398.9,1519.3999999999996,24.005,6.0,47.09999999999991,82.863,21.0,162.0
2022-06-20,292.3245,80.0,566.1999999999998,1234.886,505.0,2045.0,28.5705,7.0,58.0,111.4335,30.0,216.0
2022-06-27,396.6795,99.0,769.0,1631.5655,620.9,2810.2999999999997,35.689,8.0,75.0,147.1225,40.0,287.0
2022-07-04,503.776,131.0,951.0999999999999,2135.3415,781.0,3749.0,47.2985,9.0,105.0,194.421,52.0,385.0999999999999
2022-07-11,598.824,175.0,1098.1,2734.1655,995.4000000000001,4797.2,62.8,11.0,136.0,257.221,66.9,519.0999999999999
2022-07-18,671.7635,223.8,1203.3999999999996,3405.929,1225.4,5999.2,79.586,14.0,175.0,336.807,84.0,686.4999999999995
2022-07-25,720.9625,268.0,1307.1999999999998,4126.8915,1554.6999999999998,7155.599999999995,96.841,17.0,208.0,433.648,106.0,894.0999999999999
2022-08-01,748.2005,287.0,1365.4999999999995,4875.092,1895.1999999999998,8332.5,111.675,22.0,235.0999999999999,545.323,130.89999999999998,1120.1
2022-08-08,763.5215,270.9,1438.1,5638.6135,2325.9,9499.699999999999,123.8505,27.0,256.1999999999998,669.1735,157.0,1386.0
2022-08-15,761.582,225.0,1490.1999999999998,6400.1955,2802.6,10807.3,132.6545,30.0,268.0,801.828,194.0,1657.2999999999997
2022-08-22,747.3375,188.0,1515.2999999999997,7147.533,3286.9,12034.099999999997,139.283,33.900000000000006,281.0,941.111,235.0,1903.1999999999998
2022-08-29,720.4815,144.0,1504.5999999999995,7868.0145,3683.9000000000005,13388.3,143.6765,35.0,297.0,1084.7875,279.0,2144.6999999999994
2022-09-05,685.461,106.0,1479.3999999999996,8553.4755,4105.7,14516.299999999992,143.9915,33.0,303.0999999999999,1228.779,326.0,2384.2
2022-09-12,640.8145,74.89999999999998,1453.2999999999997,9194.29,4442.2,15762.899999999998,142.179,28.0,299.1999999999998,1370.958,379.79999999999995,2676.1
2022-09-19,591.666,54.89999999999998,1394.0,9785.956,4753.5,16904.899999999998,138.209,24.0,307.0,1509.167,435.0,3019.4999999999995
2022-09-26,536.7375,38.0,1323.1,10322.6935,4928.4,18083.0,132.8705,19.0,300.0,1642.0375,489.0,3219.4999999999977
2022-10-03,483.2835,26.0,1223.1,10805.977,5073.9,18867.7,125.7615,15.0,297.0,1767.799,529.9000000000001,3483.6999999999994
2022-10-10,429.3835,17.0,1128.3999999999996,11235.3605,5240.9,19776.299999999996,117.467,13.0,281.0,1885.266,562.9000000000001,3698.5999999999995
2022-10-17,377.4865,12.0,1018.2999999999997,11612.847,5349.8,20439.6,108.7995,10.0,266.0999999999999,1994.0655,601.8,3879.2999999999997
2022-10-24,326.706,8.0,921.3999999999996,11939.553,5410.9,21115.099999999995,99.264,6.900000000000006,250.0999999999999,2093.3295,623.9000000000001,4088.5999999999985
2022-10-31,282.15,5.0,830.2999999999997,12221.703,5492.0,21621.5,89.4325,5.0,226.0,2182.762,649.9000000000001,4238.599999999999
2022-11-07,240.1495,3.0,723.3999999999996,12461.8525,5527.9,22044.199999999997,79.695,3.0,211.0,2262.457,661.0,4402.599999999999
2022-11-14,204.803,2.0,641.0999999999999,12666.6555,5546.0,22442.899999999998,70.8715,2.0,193.0,2333.3285,683.2,4575.999999999999
2022-11-21,174.5755,1.0,557.0999999999999,12841.231,5598.1,22828.4,62.316,1.0,172.0,2395.6445,707.7,4739.0
2022-11-28,148.2465,1.0,472.0999999999999,12989.4775,5651.5,23148.199999999997,54.3605,1.0,152.0,2450.005,729.5999999999999,4882.0
2022-12-05,124.9585,0.0,387.0999999999999,13114.436,5672.9,23351.5,47.117,0.0,138.0,2497.122,736.0,4991.699999999999
2022-12-12,105.138,0.0,331.0999999999999,13219.574,5706.3,23583.899999999998,40.874,0.0,118.0,2537.996,741.0,5106.2
2022-12-19,88.7305,0.0,276.0999999999999,13308.3045,5727.5,23666.899999999998,35.0565,0.0,103.09999999999991,2573.0525,754.9000000000001,5177.9
2022-12-26,73.764,0.0,226.0,13382.0685,5741.6,23720.0,29.9345,0.0,90.0,2602.987,758.9000000000001,5219.0
2023-01-02,61.664,0.0,182.0,13443.7325,5752.6,23856.899999999998,25.9235,0.0,79.0,2628.9105,760.9000000000001,5291.9
2023-01-09,51.509,0.0,147.0999999999999,13495.2415,5766.5,24031.199999999997,21.771,0.0,67.09999999999991,2650.6815,767.5999999999999,5345.5999999999985
2023-01-16,43.2085,0.0,115.09999999999991,13538.45,5775.2,24094.399999999998,18.2995,0.0,58.0,2668.981,770.9000000000001,5361.0999999999985
2023-01-23,36.1555,0.0,95.09999999999991,13574.6055,5775.2,24244.499999999996,15.4525,0.0,47.09999999999991,2684.4335,770.9000000000001,5394.5
2023-01-30,30.711,0.0,81.09999999999991,13605.3165,5775.2,24415.899999999998,13.0855,0.0,41.0,2697.519,774.5999999999999,5419.999999999999
2023-02-06,26.003,0.0,65.0,13631.3195,5775.5,24607.1,11.038,0.0,35.0,2708.557,774.5999999999999,5458.399999999998
2023-02-13,22.138,0.0,51.0,13653.4575,5783.6,24654.699999999997,9.2955,0.0,28.0,2717.8525,775.0,5502.999999999999
2023-02-20,18.788,0.0,41.09999999999991,13672.2455,5783.6,24719.699999999997,7.8575,0.0,22.0,2725.71,782.5,5517.799999999999
2023-02-27,16.1585,0.0,33.0,13688.404,5786.7,24743.299999999992,6.6015,0.0,20.0,2732.3115,783.0,5519.9
2023-03-06,13.7575,0.0,28.0,13702.1615,5786.7,24744.999999999993,5.5855,0.0,16.0,2737.897,785.7,5524.699999999999
2023-03-13,11.557,0.0,23.0,13713.7185,5795.1,24833.699999999997,4.701,0.0,13.0,2742.598,787.8,5533.4
2023-03-20,9.9395,0.0,17.0,13723.658,5801.4,24834.899999999998,4.025,0.0,11.0,2746.623,788.9000000000001,5534.0999999999985
2023-03-27,8.2225,0.0,14.0,13731.8805,5808.3,24837.899999999998,3.289,0.0,8.099999999999909,2749.912,788.9000000000001,5535.999999999999
