Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4 wk reversion + ceased vac rollout)
2022-05-02,NA,30.5585,8.0,58.09999999999991,30.3395,8.0,59.0,30.4985,8.0,58.0,30.396,8.900000000000006,59.0,30.456,8.0,58.0
2022-05-09,NA,50.157,15.0,95.0,51.0555,14.0,97.0,50.5775,15.0,97.09999999999991,50.3215,15.0,98.0,50.6975,14.0,97.0
2022-05-16,52.0,81.5895,28.0,146.0,80.716,28.0,145.0,81.3815,28.0,147.0,80.4755,30.0,147.0,80.783,27.0,145.0
2022-05-23,120.01926792500001,105.2135,42.0,181.0999999999999,103.718,40.0,177.0,106.5075,42.0,187.0999999999999,104.617,43.0,179.0999999999999,104.3475,39.0,181.0
2022-05-30,114.092739776,122.7815,46.0,219.0,119.7525,45.0,207.0,124.0355,46.0,219.0,121.5775,43.0,215.0,120.495,44.0,213.0
2022-06-06,156.920915168,140.594,46.0,253.0,135.437,46.0,241.0999999999999,140.955,47.0,254.0,138.5045,44.0,259.0999999999999,136.05,44.0,252.0
2022-06-13,264.6376719,163.0865,45.0,307.1999999999998,158.447,45.0,295.0,163.614,45.0,308.0,160.8475,42.0,310.0999999999999,159.4615,43.0,295.0
2022-06-20,285.797106352,189.2415,47.0,369.0999999999999,184.158,47.0,350.0999999999999,188.5885,47.0,361.0,186.613,45.0,365.0,185.114,44.900000000000006,347.1999999999998
2022-06-27,137.99415403400002,211.0515,49.900000000000006,393.0,207.0395,52.900000000000006,383.0,211.8185,51.0,395.0999999999999,209.401,51.0,399.0,209.854,50.900000000000006,390.0
2022-07-04,404.453030054,239.186,56.900000000000006,436.0999999999999,237.5835,55.900000000000006,437.0,240.8015,57.0,440.0999999999999,237.3685,59.0,445.0999999999999,238.9275,55.0,433.0
2022-07-11,227.72360795,244.221,59.0,429.0999999999999,241.916,60.0,415.1999999999998,246.115,65.9,439.0,242.2095,65.9,436.0999999999999,243.159,60.0,423.0
2022-07-18,346.808274138,249.067,64.0,435.0999999999999,245.865,64.0,423.0,251.56,70.0,435.0999999999999,245.7305,67.0,430.0999999999999,246.793,65.0,427.0999999999999
2022-07-25,289.07204944,229.487,63.0,390.1999999999998,228.854,63.0,380.0,231.0295,68.9,389.0,225.6825,66.9,377.0999999999999,225.054,63.0,371.0
2022-08-01,252.84605725,203.3835,60.0,344.0,202.102,60.0,332.0999999999999,204.0675,62.0,335.0,199.883,62.900000000000006,329.0999999999999,199.8015,56.0,331.0
2022-08-08,170.15460095999998,180.188,57.0,309.0,178.9695,53.0,303.0999999999999,181.047,53.0,305.0,177.411,56.0,291.0,178.092,53.0,303.0
2022-08-15,147.54332603199998,126.7185,42.0,217.0,125.434,39.0,212.0,126.6135,40.0,211.0,124.871,42.900000000000006,210.0,124.7865,37.0,211.0
2022-08-22,88.556135021,93.8765,31.0,164.0,92.792,29.900000000000006,164.0999999999999,93.981,29.0,160.0,92.3165,30.0,160.0,92.6805,28.0,160.0
2022-08-29,59.278669776,73.005,22.0,130.0,71.761,22.0,128.0,72.24,22.0,126.0,71.241,23.0,127.0,71.2095,21.0,127.0
