Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12wk reversion + ceased vac rollout),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4wk reversion + ceased vac rollout)
2022-09-12,3239.813892338,3208.9818923380003,3275.9818923380003,3239.164392338,3208.9818923380003,3273.9818923380003,3239.2318923380003,3208.9818923380003,3274.9818923380003,3239.3958923380005,3209.9818923380003,3274.9818923380003,3239.557392338,3208.9818923380003,3276.9818923380003
2022-09-19,3269.2743923380003,3216.9818923380003,3331.9818923380003,3270.1963923380004,3216.9818923380003,3331.9818923380003,3270.389892338,3216.9818923380003,3334.9818923380003,3275.3748923380003,3220.9818923380003,3343.9818923380003,3275.157392338,3217.9818923380003,3348.081892338
2022-09-26,3289.876392338,3220.9818923380003,3371.9818923380003,3294.465392338,3221.9818923380003,3380.9818923380003,3294.5978923380003,3221.9818923380003,3380.081892338,3310.177892338,3228.8818923380004,3409.081892338,3310.1918923380003,3225.8818923380004,3417.9818923380003
2022-10-03,3304.141892338,3223.9818923380003,3401.081892338,3312.847392338,3225.9818923380003,3419.081892338,3314.6163923380004,3225.9818923380003,3422.9818923380003,3345.3543923380003,3236.9818923380003,3482.081892338,3348.8823923380005,3233.9818923380003,3494.9818923380003
2022-10-10,3313.5543923380005,3225.9818923380003,3421.9818923380003,3326.9803923380005,3227.9818923380003,3448.9818923380003,3331.6343923380005,3228.9818923380003,3461.9818923380003,3383.918892338,3243.9818923380003,3562.9818923380003,3396.6003923380003,3241.8818923380004,3596.9818923380003
2022-10-17,3319.9828923380005,3226.9818923380003,3435.081892338,3338.365392338,3228.9818923380003,3474.081892338,3346.9193923380003,3231.8818923380004,3493.181892338,3424.6783923380003,3248.9818923380003,3652.9818923380003,3453.001392338,3247.9818923380003,3721.081892338
2022-10-24,3324.3788923380002,3226.9818923380003,3444.081892338,3347.9148923380003,3229.9818923380003,3494.9818923380003,3361.0878923380005,3232.9818923380008,3526.081892338,3465.6183923380004,3253.9818923380003,3747.9818923380003,3516.831892338,3254.9818923380003,3875.9818923380003
2022-10-31,3327.4023923380005,3226.9818923380003,3450.9818923380003,3356.1298923380004,3230.9818923380003,3513.081892338,3374.6718923380004,3234.9818923380003,3557.081892338,3506.6358923380003,3256.8818923380004,3839.081892338,3589.391892338,3261.9818923380003,4058.281892338
2022-11-07,3329.5513923380004,3227.9818923380003,3454.9818923380003,3363.4443923380004,3231.9818923380003,3534.9818923380003,3388.1513923380003,3236.9818923380003,3584.9818923380003,3547.766892338,3258.8818923380004,3938.181892338,3669.8993923380003,3268.9818923380003,4255.581892337999
2022-11-14,3331.1253923380004,3227.9818923380003,3460.081892338,3370.260392338,3232.9818923380003,3551.081892338,3402.2698923380003,3237.9818923380003,3618.081892338,3589.4223923380005,3259.9818923380003,4060.081892338,3757.6723923380005,3273.9818923380003,4458.681892338
2022-11-21,3332.2763923380003,3227.9818923380003,3463.9818923380003,3377.0138923380005,3233.9818923380003,3563.9818923380003,3417.548392338,3239.9818923380003,3653.181892338,3631.6578923380002,3259.9818923380003,4160.981892338001,3850.3753923380004,3277.8818923380004,4695.581892338
2022-11-28,3333.070392338,3227.9818923380003,3464.081892338,3383.6923923380004,3233.9818923380003,3578.281892338,3434.8553923380005,3239.9818923380003,3689.081892338,3673.6243923380002,3261.9818923380003,4260.8818923379995,3945.661392338,3279.981892338,4919.281892338
2022-12-05,3333.7073923380003,3227.9818923380003,3465.081892338,3390.8098923380003,3233.9818923380003,3594.081892338,3455.072392338,3240.881892338,3741.081892338,3715.5208923380005,3261.9818923380008,4362.081892338,4042.7708923380005,3280.9818923380008,5137.481892338
2022-12-12,3334.1453923380004,3227.9818923380003,3465.9818923380003,3398.355892338,3234.9818923380003,3613.081892338,3478.7118923380003,3241.9818923380003,3802.081892338,3756.548392338,3262.9818923380003,4469.681892338,4141.480892338001,3281.8818923380004,5387.081892338
2022-12-19,3334.4528923380003,3227.9818923380003,3466.9818923380003,3406.1448923380003,3234.9818923380003,3636.281892338,3504.8573923380004,3241.9818923380003,3865.081892338,3796.6948923380005,3263.8818923380004,4586.281892338,4241.225892338,3281.9818923380008,5647.8818923379995
