Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-03,3949.624953841286,3935.2894538412856,3968.2894538412856,3952.093953841286,3935.2894538412856,3973.2894538412856,3989.3049538412856,3945.2894538412856,4043.3894538412856,3978.3519538412856,3939.2894538412856,4030.2894538412856,4061.5734538412858,3957.2894538412856,4196.289453841286
2022-10-10,3963.633953841286,3937.2894538412856,3997.2894538412856,3970.3334538412855,3939.2894538412856,4012.3894538412856,4047.477953841286,3959.2894538412856,4159.389453841286,4033.3669538412855,3947.2894538412856,4152.389453841285,4240.955953841286,3984.289453841286,4572.289453841286
2022-10-17,3974.0989538412855,3939.2894538412856,4019.2894538412856,3987.7304538412855,3941.2894538412856,4051.2894538412856,4112.302453841286,3971.1894538412857,4297.389453841285,4093.4439538412857,3952.2894538412856,4289.289453841286,4472.073953841285,4009.1894538412853,5101.689453841285
2022-10-24,3982.328453841286,3940.2894538412856,4037.2894538412856,4005.839453841286,3943.2894538412856,4092.2894538412856,4190.340953841285,3982.1894538412853,4475.389453841285,4159.311953841286,3957.2894538412856,4447.389453841286,4750.821953841286,4029.2894538412856,5780.089453841285
2022-10-31,3988.5884538412856,3941.2894538412856,4050.3894538412856,4026.028953841286,3944.2894538412856,4140.289453841286,4290.026953841286,3994.1894538412857,4699.389453841286,4229.859453841285,3961.289453841285,4615.389453841285,5065.225953841285,4045.2894538412856,6537.889453841285
2022-11-07,3993.466453841286,3941.2894538412856,4061.2894538412856,4048.8984538412856,3946.2894538412856,4196.289453841286,4418.726453841286,4004.1894538412853,4991.389453841285,4304.233453841286,3963.289453841286,4797.289453841286,5402.130453841286,4063.189453841286,7332.189453841285
2022-11-14,3997.2864538412855,3942.2894538412856,4070.2894538412856,4074.6974538412856,3947.2894538412856,4260.289453841286,4579.852453841286,4014.2894538412856,5359.089453841285,4380.048453841286,3965.2894538412856,4974.4894538412855,5749.979453841286,4077.189453841286,8166.689453841285
2022-11-21,4000.321453841286,3942.2894538412856,4076.2894538412856,4103.906953841286,3948.289453841286,4329.289453841286,4773.233953841285,4026.289453841285,5816.889453841284,4456.722953841286,3966.2894538412856,5180.289453841286,6100.274953841285,4086.2894538412856,8933.989453841285
2022-11-28,4002.6909538412856,3942.2894538412856,4082.2894538412856,4135.885953841285,3948.289453841285,4417.389453841285,4993.178453841286,4035.2894538412856,6363.189453841285,4532.3734538412855,3968.2894538412856,5363.589453841285,6452.410453841286,4094.1894538412857,9799.989453841285
2022-12-05,4004.5654538412855,3942.2894538412856,4087.2894538412856,4170.519953841285,3949.289453841285,4506.289453841286,5232.9984538412855,4039.1894538412853,6940.789453841285,4605.166453841286,3969.289453841286,5532.589453841286,6802.529453841285,4100.289453841286,10683.789453841282
2022-12-12,4006.0284538412857,3942.2894538412856,4091.2894538412856,4207.464453841286,3949.2894538412856,4606.389453841286,5487.437453841286,4045.189453841286,7657.889453841285,4675.024953841285,3969.2894538412856,5698.689453841285,7148.455453841286,4105.289453841286,11600.889453841284
2022-12-19,4007.223453841286,3942.2894538412856,4095.3894538412856,4245.202453841286,3950.189453841286,4702.489453841286,5750.522953841286,4049.189453841286,8300.989453841285,4741.638453841286,3969.2894538412856,5871.889453841285,7486.889953841286,4108.289453841286,12508.589453841283
2022-12-26,4008.178453841286,3942.2894538412856,4098.289453841286,4283.2754538412855,3950.2894538412856,4813.389453841285,6020.328453841286,4050.289453841286,8958.089453841283,4804.478953841286,3969.289453841286,6041.589453841286,7813.631453841286,4113.189453841286,13472.389453841286
