Date,Inferred non-GBMSM cases,Projected non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-05-02,NA,0.145,0.0,1.0,0.139,0.0,1.0,0.14,0.0,1.0,0.144,0.0,1.0,0.147,0.0,1.0
2022-05-09,NA,2.617,0.0,6.0,2.5585,0.0,6.0,2.5945,0.0,6.0,2.681,0.0,7.0,2.595,0.0,6.0
2022-05-16,0.037887930999999986,6.541,1.0,15.0,6.484,1.0,15.0,6.609,1.0,15.0,6.621,1.0,15.0,6.579,1.0,15.0
2022-05-23,2.0229741369999994,11.746,2.0,25.0,11.627,2.0,25.0,11.819,2.0,25.0,11.642,2.0,25.0,11.6875,2.0,25.0
2022-05-30,6.74638712,16.776,4.0,34.0,16.7355,4.0,35.0,16.8565,4.0,34.09999999999991,16.8935,3.0,35.0,16.6665,3.0,34.09999999999991
2022-06-06,13.168280054999999,20.001,5.0,40.0,19.937,5.0,39.0,19.878,5.0,40.0,20.2445,5.0,40.0,20.0715,5.0,40.0
2022-06-13,15.593232298000004,21.9595,5.0,43.09999999999991,21.7745,5.0,43.0,21.8565,6.0,43.0,21.7125,6.0,41.0,21.878,6.0,44.0
2022-06-20,12.309720225000001,22.5605,5.0,44.09999999999991,22.444,6.0,44.0,22.5485,5.0,45.0,22.682,6.0,44.0,22.6305,6.0,45.0
2022-06-27,13.88928973800001,23.709,6.0,45.0,23.495,5.0,47.0,23.6885,6.0,46.0,23.5285,5.900000000000006,45.0,23.5175,5.0,45.0
2022-07-04,20.73765497065035,25.494,6.0,51.0,25.5045,6.0,49.0,25.34,6.0,48.09999999999991,25.217,6.0,49.0,25.3915,6.0,49.0
2022-07-11,23.900084963999987,26.738,6.0,54.0,26.641,6.0,52.0,27.0125,6.0,53.0,26.981,6.0,54.0,26.8845,6.0,54.0
